From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)
A0A510NUU7	A0A510NUU7	unreviewed	A0A510NUU7_TALPI	Short-chain dehydrogenase	TCE0_018f04740	Talaromyces pinophilus (Penicillium pinophilum)	326		oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]
A0A1Q5Q7Q2	A0A1Q5Q7Q2	unreviewed	A0A1Q5Q7Q2_9EURO	Epoxide hydrolase N-terminal domain-containing protein	UA08_09051	Talaromyces atroroseus	393	epoxide metabolic process [GO:0097176]	epoxide hydrolase activity [GO:0004301]; epoxide metabolic process [GO:0097176]	epoxide hydrolase activity [GO:0004301]
A0A1Q5Q787	A0A1Q5Q787	unreviewed	A0A1Q5Q787_9EURO	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	AAH1 UA08_09052	Talaromyces atroroseus	353	adenine catabolic process [GO:0006146]; hypoxanthine salvage [GO:0043103]; nucleotide metabolic process [GO:0009117]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]	cytosol [GO:0005829]; nucleus [GO:0005634]; adenine deaminase activity [GO:0000034]; zinc ion binding [GO:0008270]; adenine catabolic process [GO:0006146]; hypoxanthine salvage [GO:0043103]; nucleotide metabolic process [GO:0009117]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]	adenine deaminase activity [GO:0000034]; zinc ion binding [GO:0008270]
A0AAD4KGV1	A0AAD4KGV1	unreviewed	A0AAD4KGV1_9EURO	Acetyltransferase	BGW36DRAFT_386903	Talaromyces proteolyticus	179		N-acetyltransferase activity [GO:0008080]	N-acetyltransferase activity [GO:0008080]
A0A6V8GZ02	A0A6V8GZ02	unreviewed	A0A6V8GZ02_TALPI	ATP phosphoribosyltransferase	TCE0_015r01426	Talaromyces pinophilus (Penicillium pinophilum)	396		2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]
A0A1Q5Q779	A0A1Q5Q779	unreviewed	A0A1Q5Q779_9EURO	Helicase ATP-binding domain-containing protein	UA08_09055	Talaromyces atroroseus	2093	DNA repair [GO:0006281]; methylation [GO:0032259]	nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; hydrolase activity [GO:0016787]; methyltransferase activity [GO:0008168]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]; methylation [GO:0032259]	ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; hydrolase activity [GO:0016787]; methyltransferase activity [GO:0008168]; zinc ion binding [GO:0008270]
A0A1Q5Q6Z6	A0A1Q5Q6Z6	unreviewed	A0A1Q5Q6Z6_9EURO	RRM domain-containing protein	UA08_09059	Talaromyces atroroseus	297	mRNA 3'-end processing [GO:0031124]	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; mRNA binding [GO:0003729]; mRNA 3'-end processing [GO:0031124]	mRNA binding [GO:0003729]
A0A1Q5Q768	A0A1Q5Q768	unreviewed	A0A1Q5Q768_9EURO	Prohibitin	UA08_09060	Talaromyces atroroseus	309	mitochondrion organization [GO:0007005]; mitophagy [GO:0000423]	mitochondrial inner membrane [GO:0005743]; mitochondrion organization [GO:0007005]; mitophagy [GO:0000423]	
A0A1Q5Q6Z1	A0A1Q5Q6Z1	unreviewed	A0A1Q5Q6Z1_9EURO	Uncharacterized protein	UA08_09062	Talaromyces atroroseus	1194		plasma membrane [GO:0005886]; calcium-activated cation channel activity [GO:0005227]	calcium-activated cation channel activity [GO:0005227]
A0A1Q5Q6Z9	A0A1Q5Q6Z9	unreviewed	A0A1Q5Q6Z9_9EURO	Arginine N-methyltransferase 2 (EC 2.1.1.-)	UA08_09061	Talaromyces atroroseus	422	methylation [GO:0032259]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein arginine N5-methyltransferase activity [GO:0019702]; methylation [GO:0032259]	protein arginine N5-methyltransferase activity [GO:0019702]
A0A1Q5Q6Z4	A0A1Q5Q6Z4	unreviewed	A0A1Q5Q6Z4_9EURO	DNA helicase (EC 3.6.4.12)	UA08_09063	Talaromyces atroroseus	1013	DNA strand elongation involved in DNA replication [GO:0006271]; double-strand break repair via break-induced replication [GO:0000727]; mitotic DNA replication initiation [GO:1902975]; premeiotic DNA replication [GO:0006279]	DNA replication preinitiation complex [GO:0031261]; MCM complex [GO:0042555]; nuclear pre-replicative complex [GO:0005656]; nuclear replication fork [GO:0043596]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]; DNA strand elongation involved in DNA replication [GO:0006271]; double-strand break repair via break-induced replication [GO:0000727]; mitotic DNA replication initiation [GO:1902975]; premeiotic DNA replication [GO:0006279]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]
A0AAD4KJL4	A0AAD4KJL4	unreviewed	A0AAD4KJL4_9EURO	Oxidoreductase	BGW36DRAFT_302560	Talaromyces proteolyticus	318	secondary metabolite biosynthetic process [GO:0044550]	oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; secondary metabolite biosynthetic process [GO:0044550]	oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]
A0A1Q5Q7A7	A0A1Q5Q7A7	unreviewed	A0A1Q5Q7A7_9EURO	Vacuolar transporter chaperone complex subunit 4 (EC 2.7.4.1) (Polyphosphate kinase) (SPX-dependent polyphosphate polymerase VTC subunit 4) (Vacuolar membrane polyphosphate polymerase catalytic subunit)	UA08_09065	Talaromyces atroroseus	796	microautophagy [GO:0016237]; polyphosphate biosynthetic process [GO:0006799]; vacuolar transport [GO:0007034]; vacuole fusion, non-autophagic [GO:0042144]	endoplasmic reticulum [GO:0005783]; fungal-type vacuole membrane [GO:0000329]; vacuolar transporter chaperone complex [GO:0033254]; calmodulin binding [GO:0005516]; inositol hexakisphosphate binding [GO:0000822]; polyphosphate kinase activity [GO:0008976]; microautophagy [GO:0016237]; polyphosphate biosynthetic process [GO:0006799]; vacuolar transport [GO:0007034]; vacuole fusion, non-autophagic [GO:0042144]	calmodulin binding [GO:0005516]; inositol hexakisphosphate binding [GO:0000822]; polyphosphate kinase activity [GO:0008976]
A0AAD4L308	A0AAD4L308	unreviewed	A0AAD4L308_9EURO	Polyketide synthase	BGW36DRAFT_354716	Talaromyces proteolyticus	2645	fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]	fatty acid synthase activity [GO:0004312]; fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]	fatty acid synthase activity [GO:0004312]
B8MJN7	B8MJN7	unreviewed	B8MJN7_TALSN	MFS monosaccharide transporter, putative	TSTA_051730	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	536		membrane [GO:0016020]; carbohydrate:proton symporter activity [GO:0005351]	carbohydrate:proton symporter activity [GO:0005351]
A0A0U1LPV4	A0A0U1LPV4	unreviewed	A0A0U1LPV4_TALIS	T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta)	PISL3812_02416	Talaromyces islandicus (Penicillium islandicum)	562	chaperone mediated protein folding independent of cofactor [GO:0051086]	chaperonin-containing T-complex [GO:0005832]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]; chaperone mediated protein folding independent of cofactor [GO:0051086]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]
A0A1Q5Q6Z8	A0A1Q5Q6Z8	unreviewed	A0A1Q5Q6Z8_9EURO	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	UA08_09067	Talaromyces atroroseus	498	protein N-linked glycosylation via asparagine [GO:0018279]	oligosaccharyltransferase complex [GO:0008250]; protein N-linked glycosylation via asparagine [GO:0018279]	
A0A6V8HAE4	A0A6V8HAE4	unreviewed	A0A6V8HAE4_TALPI	Late endosome to vacuole transport-related protein	TCE0_033r08477	Talaromyces pinophilus (Penicillium pinophilum)	1581	endosomal vesicle fusion [GO:0034058]; protein targeting to vacuole [GO:0006623]	HOPS complex [GO:0030897]; late endosome [GO:0005770]; endosomal vesicle fusion [GO:0034058]; protein targeting to vacuole [GO:0006623]	
A0A1Q5Q7G3	A0A1Q5Q7G3	unreviewed	A0A1Q5Q7G3_9EURO	Carbohydrate kinase PfkB domain-containing protein	UA08_09068	Talaromyces atroroseus	799		cytoplasm [GO:0005737]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; metal ion binding [GO:0046872]; pseudouridylate synthase activity [GO:0004730]	hydrolase activity, acting on glycosyl bonds [GO:0016798]; metal ion binding [GO:0046872]; pseudouridylate synthase activity [GO:0004730]
A0A7H8QZE1	A0A7H8QZE1	unreviewed	A0A7H8QZE1_TALRU	F-box domain-containing protein	TRUGW13939_06481	Talaromyces rugulosus (Penicillium rugulosum)	418			
A0A6V8H1W8	A0A6V8H1W8	unreviewed	A0A6V8H1W8_TALPI	Riboflavin kinase (EC 2.7.1.26) (Flavin mononucleotide kinase 1)	TCE0_015r01404	Talaromyces pinophilus (Penicillium pinophilum)	888	cellular response to starvation [GO:0009267]; FMN biosynthetic process [GO:0009398]; gluconeogenesis [GO:0006094]; riboflavin biosynthetic process [GO:0009231]	nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; riboflavin kinase activity [GO:0008531]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; zinc ion binding [GO:0008270]; cellular response to starvation [GO:0009267]; FMN biosynthetic process [GO:0009398]; gluconeogenesis [GO:0006094]; riboflavin biosynthetic process [GO:0009231]	ATP binding [GO:0005524]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; riboflavin kinase activity [GO:0008531]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; zinc ion binding [GO:0008270]
A0A1Q5Q790	A0A1Q5Q790	unreviewed	A0A1Q5Q790_9EURO	Major facilitator superfamily (MFS) profile domain-containing protein	UA08_09072	Talaromyces atroroseus	540	export across plasma membrane [GO:0140115]; xenobiotic transport [GO:0042908]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; export across plasma membrane [GO:0140115]; xenobiotic transport [GO:0042908]	transmembrane transporter activity [GO:0022857]
A0A1Q5Q7R2	A0A1Q5Q7R2	unreviewed	A0A1Q5Q7R2_9EURO	Uncharacterized protein	UA08_09073	Talaromyces atroroseus	119		membrane [GO:0016020]	
B6QA44	B6QA44	unreviewed	B6QA44_TALMQ	N-acetyltransferase domain-containing protein	PMAA_072850	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	246		acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]
A0A0U1LYH0	A0A0U1LYH0	unreviewed	A0A0U1LYH0_TALIS	Putative membrane protein C3B8,06	PISL3812_04802	Talaromyces islandicus (Penicillium islandicum)	937		membrane [GO:0016020]	
A0A0U1M9T2	A0A0U1M9T2	unreviewed	A0A0U1M9T2_TALIS	Zn(2)-C6 fungal-type domain-containing protein	PISL3812_09157	Talaromyces islandicus (Penicillium islandicum)	666	DNA-templated transcription [GO:0006351]; nitrogen catabolite activation of transcription from RNA polymerase II promoter [GO:0001080]	membrane [GO:0016020]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]; nitrogen catabolite activation of transcription from RNA polymerase II promoter [GO:0001080]	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]
A0A7H8QIX9	A0A7H8QIX9	unreviewed	A0A7H8QIX9_TALRU	ubiquitinyl hydrolase 1 (EC 3.4.19.12)	TRUGW13939_00970	Talaromyces rugulosus (Penicillium rugulosum)	3181		cysteine-type peptidase activity [GO:0008234]	cysteine-type peptidase activity [GO:0008234]
A0AAD4L2D4	A0AAD4L2D4	unreviewed	A0AAD4L2D4_9EURO	ABC multidrug transporter Mdr1	BGW36DRAFT_289625	Talaromyces proteolyticus	1357	oligopeptide export from mitochondrion [GO:0090374]	mitochondrial inner membrane [GO:0005743]; plasma membrane [GO:0005886]; ABC-type oligopeptide transporter activity [GO:0015421]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; oligopeptide export from mitochondrion [GO:0090374]	ABC-type oligopeptide transporter activity [GO:0015421]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
A0AAD4KPB0	A0AAD4KPB0	unreviewed	A0AAD4KPB0_9EURO	Aflatoxin regulatory protein domain-containing protein	BGW36DRAFT_428231	Talaromyces proteolyticus	352			
A0AAD4KPJ6	A0AAD4KPJ6	unreviewed	A0AAD4KPJ6_9EURO	WD40-repeat-containing domain protein	BGW36DRAFT_380425	Talaromyces proteolyticus	911			
A0A225BBC2	A0A225BBC2	unreviewed	A0A225BBC2_9EURO	Peptide hydrolase (EC 3.4.-.-)	UA08_00041	Talaromyces atroroseus	396	proteolysis [GO:0006508]	glutaminyl-peptide cyclotransferase activity [GO:0016603]; peptidase activity [GO:0008233]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]	glutaminyl-peptide cyclotransferase activity [GO:0016603]; peptidase activity [GO:0008233]; zinc ion binding [GO:0008270]
A0A7H8R188	A0A7H8R188	unreviewed	A0A7H8R188_TALRU	Major facilitator superfamily (MFS) profile domain-containing protein	TRUGW13939_06890	Talaromyces rugulosus (Penicillium rugulosum)	459		membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]
A0AAD4PVQ7	A0AAD4PVQ7	unreviewed	A0AAD4PVQ7_9EURO	rRNA adenine N(6)-methyltransferase (EC 2.1.1.-)	BGW36DRAFT_349683	Talaromyces proteolyticus	401		nucleolus [GO:0005730]; RNA binding [GO:0003723]; rRNA (adenine-N6,N6-)-dimethyltransferase activity [GO:0000179]	RNA binding [GO:0003723]; rRNA (adenine-N6,N6-)-dimethyltransferase activity [GO:0000179]
A0A6V8H5A1	A0A6V8H5A1	unreviewed	A0A6V8H5A1_TALPI	DUF1989 domain-containing protein	TCE0_015r02029	Talaromyces pinophilus (Penicillium pinophilum)	205			
B6Q295	B6Q295	unreviewed	B6Q295_TALMQ	ATP-grasp domain-containing protein	PMAA_037480	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	503		membrane [GO:0016020]	
B8MFU1	B8MFU1	unreviewed	B8MFU1_TALSN	FluG domain-containing protein	TSTA_009300	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	806			
A0AAD4PY49	A0AAD4PY49	unreviewed	A0AAD4PY49_9EURO	Sas10 C-terminal domain-containing protein	BGW36DRAFT_359160	Talaromyces proteolyticus	652	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	
B8MIB7	B8MIB7	unreviewed	B8MIB7_TALSN	G-protein beta WD-40 repeats containing protein, putative	TSTA_040800	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	1211			
A0A6V8H8N2	A0A6V8H8N2	unreviewed	A0A6V8H8N2_TALPI	Protein kinase domain-containing protein	TCE0_033r07906	Talaromyces pinophilus (Penicillium pinophilum)	161		ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
A0A225ADQ9	A0A225ADQ9	unreviewed	A0A225ADQ9_9EURO	Protein kinase domain-containing protein	UA08_05002	Talaromyces atroroseus	311		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
B8LY47	B8LY47	unreviewed	B8LY47_TALSN	Mitochondrial carrier protein (Pet8), putative	TSTA_067320	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	340		mitochondrial inner membrane [GO:0005743]; S-adenosyl-L-methionine transmembrane transporter activity [GO:0000095]	S-adenosyl-L-methionine transmembrane transporter activity [GO:0000095]
A0A1Q5Q7F1	A0A1Q5Q7F1	unreviewed	A0A1Q5Q7F1_9EURO	Flavoprotein domain-containing protein	UA08_08962	Talaromyces atroroseus	588	coenzyme A biosynthetic process [GO:0015937]	phosphopantothenoylcysteine decarboxylase complex [GO:0071513]; FMN binding [GO:0010181]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]	FMN binding [GO:0010181]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]
A0A1Q5Q7B6	A0A1Q5Q7B6	unreviewed	A0A1Q5Q7B6_9EURO	Nuclear membrane fusion protein Kar5	UA08_08963	Talaromyces atroroseus	375	karyogamy involved in conjugation with cellular fusion [GO:0000742]; nuclear membrane fusion involved in karyogamy [GO:0048288]	endoplasmic reticulum membrane [GO:0005789]; nuclear membrane [GO:0031965]; karyogamy involved in conjugation with cellular fusion [GO:0000742]; nuclear membrane fusion involved in karyogamy [GO:0048288]	
A0A1Q5Q744	A0A1Q5Q744	unreviewed	A0A1Q5Q744_9EURO	Large ribosomal subunit protein uL6m	UA08_08964	Talaromyces atroroseus	253	translation [GO:0006412]	mitochondrial large ribosomal subunit [GO:0005762]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
A0A1Q5Q739	A0A1Q5Q739	unreviewed	A0A1Q5Q739_9EURO	3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)	UA08_08965	Talaromyces atroroseus	436	hyperosmotic salinity response [GO:0042538]; methionine biosynthetic process [GO:0009086]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; sulfate assimilation [GO:0000103]; tRNA decay [GO:0016078]	3'(2'),5'-bisphosphate nucleotidase activity [GO:0008441]; inositol-1,3,4-trisphosphate 1-phosphatase activity [GO:0052829]; inositol-1,4-bisphosphate 1-phosphatase activity [GO:0004441]; metal ion binding [GO:0046872]; hyperosmotic salinity response [GO:0042538]; methionine biosynthetic process [GO:0009086]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; sulfate assimilation [GO:0000103]; tRNA decay [GO:0016078]	3'(2'),5'-bisphosphate nucleotidase activity [GO:0008441]; inositol-1,3,4-trisphosphate 1-phosphatase activity [GO:0052829]; inositol-1,4-bisphosphate 1-phosphatase activity [GO:0004441]; metal ion binding [GO:0046872]
A0A1Q5Q745	A0A1Q5Q745	unreviewed	A0A1Q5Q745_9EURO	VHS domain-containing protein	UA08_08966	Talaromyces atroroseus	397	actin cortical patch localization [GO:0051666]; actin filament organization [GO:0007015]; endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; vacuolar transport [GO:0007034]	actin cortical patch [GO:0030479]; phosphatidylinositol binding [GO:0035091]; ubiquitin binding [GO:0043130]; actin cortical patch localization [GO:0051666]; actin filament organization [GO:0007015]; endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; vacuolar transport [GO:0007034]	phosphatidylinositol binding [GO:0035091]; ubiquitin binding [GO:0043130]
